"Semana/
Periodo","CAPITAL
Inicio de semana
(efectivo)","CAPITAL
Inicio de semana
(tranfertencia)","ingresos efectivo
(ventas)","ingreso tranferencia
(ventas)","Gastos
Provedores 
(efectivo)","Gastos
Provedores 
(tranferencia)","ingresos totales
(ventas)","Utilidad neta
(efectivo)","Utilidad neta
(tranferencia)","Utilidad neta
(ganacia)",,fecha,dia,ganancia del dia,nair,uber,Gastos,Otros
Semana 1,"$497,412.00",,"$90,000.00","$82,300.00","$10,000.00","$116,075.00","$172,300.00","$577,412.00","-$33,775.00","$543,637.00",,1/9/2026,martes,"$20,000.00",$0.00,$0.00,"$10,000.00",$0.00
Semana 2,,,$0.00,$0.00,"$10,000.00","$116,075.00",$0.00,"-$10,000.00","-$116,075.00","-$126,075.00",,2/9/2026,miércoles,"$79,300.00",$0.00,"$1,300.00","$10,000.00",$0.00
Semana 3,,,$0.00,$0.00,"$10,000.00","$116,075.00",$0.00,"-$10,000.00","-$116,075.00","-$126,075.00",,3/9/2026,jueves,$0.00,$0.00,$0.00,$0.00,$0.00
Semana 4,,,$0.00,$0.00,"$10,000.00","$116,075.00",$0.00,"-$10,000.00","-$116,075.00","-$126,075.00",,4/9/2026,viernes,$0.00,$0.00,$0.00,$0.00,$0.00
,,,,,,,,,,,,5/9/2026,sábado,$0.00,$0.00,$0.00,$0.00,$0.00
,,,,,,,,,,,,6/9/2026,domingo,$0.00,$0.00,$0.00,$0.00,$0.00
,,,,,,,,,,,,7/9/2026,lunes,$0.00,$0.00,$0.00,$0.00,$0.00
,"GASTO TOTAL
(Efectivo)","GASTO TOTAL
(tranferencia)","TOTAL DE VENTAS
(Efectivo)","TOTAL DE VENTAS
(Tranferencia)","Reservado 
tranferencia","Reservado 
Efectivo",TOTAL,,inicio del mes,,,8/9/2026,martes,$0.00,$0.00,$0.00,$0.00,$0.00
"LIQUIDACION 
DE MES","$61,300.00","$464,300.00","$90,000.00","$82,300.00",409000,,,,Luz,,,9/9/2026,miércoles,$0.00,$0.00,$0.00,$0.00,$0.00
,,,,,,,,,Desinfeccion ,,,10/9/2026,jueves,$0.00,$0.00,$0.00,$0.00,$0.00
,,,,,,,,,Sueldo,,,11/9/2026,viernes,$0.00,$0.00,$0.00,$0.00,$0.00
,,,,,,,,,C.I.S.I,,,12/9/2026,sábado,$0.00,$0.00,$0.00,$0.00,$0.00
,,,,,,,,,Renta,,,13/9/2026,domingo,$0.00,$0.00,$0.00,$0.00,$0.00
,,,,,,,,,,,,14/9/2026,lunes,$0.00,$0.00,$0.00,$0.00,$0.00
,,,,,,,,,,,,15/9/2026,martes,$0.00,$0.00,$0.00,$0.00,$0.00
,,,,,,,,,,,,16/9/2026,miércoles,$0.00,$0.00,$0.00,$0.00,$0.00
,,,,,,,,,,,,17/9/2026,jueves,$0.00,$0.00,$0.00,$0.00,$0.00
,,,,,,,,,,,,18/9/2026,viernes,$0.00,$0.00,$0.00,$0.00,$0.00
,,,,,,,,,,,,19/9/2026,sábado,$0.00,$0.00,$0.00,$0.00,$0.00
,,,,,,,,,,,,20/9/2026,domingo,$0.00,$0.00,$0.00,$0.00,$0.00
,,,,,,,,,,,,21/9/2026,lunes,$0.00,$0.00,$0.00,$0.00,$0.00
,,,,,,,,,,,,22/9/2026,martes,$0.00,$0.00,$0.00,$0.00,$0.00
,,,,,,,,,,,,23/9/2026,miércoles,$0.00,$0.00,$0.00,$0.00,$0.00
,,,,,,,,,,,,24/9/2026,jueves,$0.00,$0.00,$0.00,$0.00,$0.00
,,,,,,,,,,,,25/9/2026,viernes,$0.00,$0.00,$0.00,$0.00,$0.00
,,,,,,,,,,,,26/9/2026,sábado,$0.00,$0.00,$0.00,$0.00,$0.00
,,,,,,,,,,,,27/9/2026,domingo,$0.00,$0.00,$0.00,$0.00,$0.00
,,,,,,,,,,,,28/9/2026,lunes,$0.00,$0.00,$0.00,$0.00,$0.00
,,,,,,,,,,,,29/9/2026,martes,$0.00,$0.00,$0.00,$0.00,$0.00
,,,,,,,,,,,,30/9/2026,miércoles,$0.00,$0.00,$0.00,$0.00,$0.00
,,,,,,,,,,,,,TOTAL,"$99,300.00",$0.00,"$1,300.00","$20,000.00",$0.00
