Marca temporal,Fecha,Administrador,PRODUCTO: (Pollo),PRODUCTOS: (Pescado),"POLLO (recién faenados)
miguel",OTROS:,Cantidad ,Monto total de compra,Forma de pago 
25/8/2026 9:56:40,25/8/2026,Stella,FILET,,,,1,100500,Tranferencia
25/8/2026 9:57:27,25/8/2026,Stella,PATA MUSLO,,,,1,38500,Tranferencia
25/8/2026 11:17:18,25/8/2026,Stella,,,,Perejil ,1,2300,Efectivo
25/8/2026 11:17:34,25/8/2026,Stella,,,,Ajo,2,3000,Efectivo
25/8/2026 16:05:13,25/8/2026,Esequiel,,,POLLO,,5,79000,Efectivo
27/8/2026 13:26:57,27/8/2026,Stella,,,POLLO,,5,78000,Efectivo
27/8/2026 13:32:07,27/8/2026,Stella,"PATA MUSLO, FILET, MEDALLONES (Pollo), MEDALLONES (Pollo JyQ), MILANESA (merluza finas hiervas)",,,,1,218000,Tranferencia
27/8/2026 13:33:31,27/8/2026,Stella,"MEDALLONES (Merluza EyQ), NUGGETS DE POLLO",,,,1,66200,Efectivo
28/8/2026 8:40:58,27/8/2026,Esequiel,,,,Huevos,6,27000,Efectivo
28/8/2026 8:42:46,27/8/2026,Esequiel,,,,Pan rallado,10,15000,Efectivo
29/8/2026 10:13:06,29/8/2026,Esequiel,,,POLLO,,5,78000,Efectivo
29/8/2026 10:13:50,29/8/2026,Esequiel,,,,Flete ,2,65000,Efectivo
1/9/2026 9:10:12,29/8/2026,Esequiel,,,POLLO,,5,88,Efectivo
1/9/2026 9:12:17,31/8/2026,Esequiel,,,,Maicena,5,10000,Efectivo
1/9/2026 9:15:42,31/8/2026,Esequiel,,,,"Pimiento, ",2,1500,Tranferencia
1/9/2026 9:16:20,31/8/2026,Esequiel,,,,Cebolla,5,2000,Tranferencia
1/9/2026 9:16:54,31/8/2026,Esequiel,,,,Limón ,3,500,Tranferencia
1/9/2026 9:29:34,31/8/2026,Esequiel,,,,"Jamón, queso, curcuma",1,53300,Tranferencia
1/9/2026 9:32:43,31/8/2026,Esequiel,FILET,,,,10,75,Tranferencia
1/9/2026 9:33:37,31/8/2026,Esequiel,PATA MUSLO,,,,15,38000,Tranferencia
1/9/2026 18:58:52,1/9/2026,Esequiel,,,,Tela y ule freezer,2,20700,Tranferencia
